problem_id,current_runtime_ms,estimated_speedup_range,estimated_time_saved_pct,confidence,bottleneck_class,notes
507,7398,2-4x,60,high,alloc_churn,Vec alloc per gauss() call (20M calls); use stack arrays + rayon over 20M iterations
421,5862,4-10x,75,high,mod_arith,u128->u64 pow_mod; rayon over 5.7M primes; embarrassingly parallel
693,7149,2-4x,60,high,alloc_churn,24MB used[] array zeroed per compute_g call; generation counter for O(1) clear
448,10663,1.5-2x,40,high,data_structure,HashMap -> FxHashMap; eliminate dyn Fn dispatch; u64 not i128 for mod arith
559,7090,2-4x,60,high,brute_force,O(N^2*H_N) DP; convolution structure may allow O(N log N); rayon over k values
540,6993,2-4x,60,med,parallelizable,Vec alloc in get_prime_factors -> stack array; rayon on m-loop
785,6963,2-4x,60,high,brute_force,Rayon on outer m-loop (trivially independent); each m is self-contained
606,10131,1.5-2x,40,high,mod_arith,"Unnecessary i128 in inner Lucy DP loops; MOD<2^30, products fit u64"
585,6709,2-4x,60,med,brute_force,Parallelize O(N log N) second-case sum; optimize is_sq in inner loop
557,5324,4-10x,75,high,brute_force,Rayon over outer a loop; zero shared state; textbook parallel case
715,9958,1.5-2x,40,high,memory_bound,ff: usize->u32 saves 400MB (800->400MB); parallelize big[i] fill
534,6556,2-4x,60,high,data_structure,HashMap -> FxHashMap for profile DP; pre-allocate across k iterations
657,6424,2-4x,60,high,mod_arith,Parallelize 10M pow[] init with rayon; i128->u64 in power_mod
445,6383,2-4x,60,high,mod_arith,i128->u64 in power_mod/mod_inv (MOD<2^30); precompute small p^e table
864,6379,2-4x,60,med,algorithmic,Rayon on Part B DFS; precompute squarefree sieve instead of trial division
946,8902,1.5-2x,40,med,mod_arith,10^8 iterations of i128 arithmetic; GCC __int128 faster than Rust software i128
769,5831,2-4x,60,med,brute_force,Rayon on g loop (independent iterations); float sqrt inner loop
437,5792,2-4x,60,med,parallelizable,Rayon over primes; u128->u64 in fib_pair (p<2^27)
873,5756,2-4x,60,high,mod_arith,Precompute inverse table (linear recurrence); i128->i64 (MOD<2^30)
427,8247,1.5-2x,40,med,algorithmic,O(N log N) mod-arith; precompute all fk in parallel then accumulate delta sequentially
433,5426,2-4x,60,med,algorithmic,Rayon over g; make extgcd iterative; both independent optimizations
691,8100,1.5-2x,40,med,memory_bound,O(n log^2 n) SA construction; switch to SA-IS O(n); C uses static arrays
931,8091,1.5-2x,40,med,algorithmic,Lucy DP O(N^(2/3)); eliminate get_idx branching with flat two-array layout
238,8034,1.5-2x,40,med,algorithmic,format!() alloc in hot loop -> arithmetic digit extraction; O(D^2) double loop
637,5285,2-4x,60,high,brute_force,Two independent compute_f calls; rayon within each 10M loop
708,7611,1.5-2x,40,med,algorithmic,Redundant sum_floor_quotients calls in DFS; parallelize independent subtrees
650,4960,2-4x,60,high,mod_arith,i128->u64 in power() (MOD<2^30); direct hot-path fix
543,7368,1.5-2x,40,med,memory_bound,"42 independent count_primes scans; sort queries, single linear scan instead"
415,7278,1.5-2x,40,med,algorithmic,"Lucy DP three passes fusible; incremental pow(2,g) instead of repeated mod_pow"
611,7122,1.5-2x,40,med,algorithmic,Lucy DP + DFS; precompute mod4 flags; reduce divisions in inner DFS loop
314,4746,2-4x,60,med,brute_force,MAX_STEP=15 vs C's 5; reducing step gives 9x fewer edges; verify correctness
655,7057,1.5-2x,40,med,memory_bound,10M-entry DP table; eliminate modulo in inner loop; track nonzero indices
797,7001,1.5-2x,40,med,mod_arith,Replace N pow_mod calls with linear inverse sieve; parallelize final sum
468,6791,1.5-2x,40,med,mod_arith,Already optimized u32 + unsafe; parallelize small-B phase per-B
642,6313,1.5-2x,40,med,algorithmic,Lucy sieve + DFS; parallelize DFS top-level iterations; tri_mod branch elimination
378,10061,1.2-1.5x,25,med,memory_bound,850MB working set; right_arr i64->i32 halves 480MB; free SPF before phase 2
972,5895,1.5-2x,40,med,data_structure,Already parallel with FxHashMap; GeoKey is large; separate map for diameter case
608,5833,1.5-2x,40,med,memory_bound,800MB+ working set; chunked sieve for cache friendliness; not compute-bound
947,5823,1.5-2x,40,med,alloc_churn,Reuse scratch Vecs; flat cache instead of HashMap; u64 in Mat2::mul_mod
953,9103,1.2-1.5x,25,low,parallelizable,Already well-parallelized; DFS load balance is the only remaining issue
459,5554,1.5-2x,40,med,memory_bound,Fuse mex+count loops to halve memory passes; O(N*sqrt(N)) is fundamental
592,5538,1.5-2x,40,med,brute_force,Parallelize f_vals block precomputation (27 independent blocks)
552,8468,1.2-1.5x,25,high,algorithmic,O(L^2) Garner CRT is fundamental; C identical; no structural improvement visible
501,5175,1.5-2x,40,med,memory_bound,pi_small Vec<i64>->Vec<u32> cuts 400MB; rayon on outer p loop
416,5054,1.5-2x,40,med,mod_arith,Parallel M1/M2 mat_pows (independent); deferred mod reduction
886,7967,1.2-1.5x,25,med,algorithmic,Memoized exponential search; C uses globals vs Rust Box<Ctx>; minimal opportunity
954,4959,1.5-2x,40,med,data_structure,FxHashMap digit-DP; C uses DFS-with-pruning without hash maps
583,4922,1.5-2x,40,med,algorithmic,Inner O(n^2) loop; C uses O(n) two-pointer; port sorted scan
461,7872,1.2-1.5x,25,high,alloc_churn,85M pair allocation + sort; par_sort_unstable could help sort phase
379,7827,1.2-1.5x,25,high,parallelizable,Already well-parallelized; nested rayon contention; run T inner loop sequentially
614,7281,1.2-1.5x,25,med,parallelizable,Already partially parallel; sequential Phase 2 dominates; transpose thread_temps
505,6874,1.2-1.5x,25,low,algorithmic,Inherently sequential recursive tree; C identical; minimal opportunity
417,6755,1.2-1.5x,25,low,parallelizable,Already parallel; u128->u64 in pow_mod_big for small primes
370,6739,1.2-1.5x,25,low,parallelizable,Already parallel; Vec->stack array in get_prime_factors inside closure
578,4654,1.5-2x,35,low,unknown,Not inspected; runtime suggests optimization possible
662,4632,1.5-2x,35,low,unknown,Not inspected; runtime suggests optimization possible
465,4586,1.5-2x,35,low,unknown,Not inspected; runtime suggests optimization possible
680,6372,1.2-1.5x,25,low,memory_bound,Implicit treap already optimized with raw pointers; convert recursion to explicit stack
786,4548,1.5-2x,35,low,unknown,Not inspected; runtime suggests optimization possible
799,4521,1.5-2x,35,low,unknown,Not inspected; runtime suggests optimization possible
712,4471,1.5-2x,35,low,unknown,Not inspected; runtime suggests optimization possible
763,4468,1.5-2x,35,low,unknown,Not inspected; runtime suggests optimization possible
654,4458,1.5-2x,35,low,unknown,Not inspected; runtime suggests optimization possible
660,4366,1.5-2x,35,low,unknown,Not inspected; runtime suggests optimization possible
730,4301,1.5-2x,35,low,unknown,Not inspected; runtime suggests optimization possible
975,4252,1.5-2x,35,low,unknown,Not inspected; runtime suggests optimization possible
929,4224,1.5-2x,35,low,unknown,Not inspected; runtime suggests optimization possible
337,4178,1.5-2x,35,low,unknown,Not inspected; runtime suggests optimization possible
521,5756,1.2-1.5x,25,high,memory_bound,Algorithm near-optimal O(N^(2/3)); minor inlining only
593,4031,1.5-2x,35,low,unknown,Not inspected; runtime suggests optimization possible
639,4017,1.5-2x,35,low,unknown,Not inspected; runtime suggests optimization possible
739,4005,1.5-2x,35,low,unknown,Not inspected; runtime suggests optimization possible
852,3975,1.5-2x,35,low,unknown,Not inspected; runtime suggests optimization possible
548,3949,1.5-2x,35,low,unknown,Not inspected; runtime suggests optimization possible
482,5435,1.2-1.5x,25,low,parallelizable,Already parallel; improve dedup with FxHashSet
928,5430,1.2-1.5x,25,med,parallelizable,Already parallel 125 tasks; tighten pruning bounds
351,3865,1.5-2x,35,low,unknown,Not inspected; runtime suggests optimization possible
867,5354,1.2-1.5x,25,med,algorithmic,Profile DP exponential in window; parallelize independent cache warmup
256,3804,1.5-2x,35,low,unknown,Not inspected; runtime suggests optimization possible
701,3787,1.5-2x,35,low,unknown,Not inspected; runtime suggests optimization possible
861,3781,1.5-2x,35,low,unknown,Not inspected; runtime suggests optimization possible
259,3753,1.5-2x,35,low,unknown,Not inspected; runtime suggests optimization possible
428,3732,1.5-2x,35,low,unknown,Not inspected; runtime suggests optimization possible
963,3707,1.5-2x,35,low,unknown,Not inspected; runtime suggests optimization possible
483,3696,1.5-2x,35,low,unknown,Not inspected; runtime suggests optimization possible
478,3672,1.5-2x,35,low,unknown,Not inspected; runtime suggests optimization possible
919,3672,1.5-2x,35,low,unknown,Not inspected; runtime suggests optimization possible
983,3665,1.5-2x,35,low,unknown,Not inspected; runtime suggests optimization possible
420,3633,1.5-2x,35,low,unknown,Not inspected; runtime suggests optimization possible
870,3619,1.5-2x,35,low,unknown,Not inspected; runtime suggests optimization possible
596,3607,1.5-2x,35,low,unknown,Not inspected; runtime suggests optimization possible
883,3589,1.5-2x,35,low,unknown,Not inspected; runtime suggests optimization possible
452,3585,1.5-2x,35,low,unknown,Not inspected; runtime suggests optimization possible
538,3538,1.5-2x,35,low,unknown,Not inspected; runtime suggests optimization possible
626,3495,1.5-2x,35,low,unknown,Not inspected; runtime suggests optimization possible
414,3491,1.5-2x,35,low,unknown,Not inspected; runtime suggests optimization possible
397,3462,1.5-2x,35,low,unknown,Not inspected; runtime suggests optimization possible
291,3439,1.5-2x,35,low,unknown,Not inspected; runtime suggests optimization possible
718,3407,1.5-2x,35,low,unknown,Not inspected; runtime suggests optimization possible
754,3406,1.5-2x,35,low,unknown,Not inspected; runtime suggests optimization possible
977,3406,1.5-2x,35,low,unknown,Not inspected; runtime suggests optimization possible
476,4755,1.2-1.5x,25,low,brute_force,Already parallelized and optimized; minor loop restructuring only
362,3390,1.5-2x,35,low,unknown,Not inspected; runtime suggests optimization possible
439,3364,1.5-2x,35,low,unknown,Not inspected; runtime suggests optimization possible
571,3362,1.5-2x,35,low,unknown,Not inspected; runtime suggests optimization possible
636,3362,1.5-2x,35,low,unknown,Not inspected; runtime suggests optimization possible
399,3344,1.5-2x,35,low,unknown,Not inspected; runtime suggests optimization possible
966,3324,1.5-2x,35,low,unknown,Not inspected; runtime suggests optimization possible
623,3321,1.5-2x,35,low,unknown,Not inspected; runtime suggests optimization possible
921,3294,1.5-2x,35,low,unknown,Not inspected; runtime suggests optimization possible
447,3284,1.5-2x,35,low,unknown,Not inspected; runtime suggests optimization possible
659,3204,1.5-2x,35,low,unknown,Not inspected; runtime suggests optimization possible
748,3196,1.5-2x,35,low,unknown,Not inspected; runtime suggests optimization possible
635,3183,1.5-2x,35,low,unknown,Not inspected; runtime suggests optimization possible
563,3144,1.5-2x,35,low,unknown,Not inspected; runtime suggests optimization possible
705,3143,1.5-2x,35,low,unknown,Not inspected; runtime suggests optimization possible
580,3121,1.5-2x,35,low,unknown,Not inspected; runtime suggests optimization possible
245,3079,1.5-2x,35,low,unknown,Not inspected; runtime suggests optimization possible
455,3029,1.5-2x,35,low,unknown,Not inspected; runtime suggests optimization possible
890,3005,1.5-2x,35,low,unknown,Not inspected; runtime suggests optimization possible
464,2995,1.2-1.5x,20,low,unknown,Moderate runtime; may benefit from minor optimizations
411,2977,1.2-1.5x,20,low,unknown,Moderate runtime; may benefit from minor optimizations
699,2973,1.2-1.5x,20,low,unknown,Moderate runtime; may benefit from minor optimizations
451,2960,1.2-1.5x,20,low,unknown,Moderate runtime; may benefit from minor optimizations
518,2873,1.2-1.5x,20,low,unknown,Moderate runtime; may benefit from minor optimizations
529,2838,1.2-1.5x,20,low,unknown,Moderate runtime; may benefit from minor optimizations
850,2837,1.2-1.5x,20,low,unknown,Moderate runtime; may benefit from minor optimizations
784,2807,1.2-1.5x,20,low,unknown,Moderate runtime; may benefit from minor optimizations
741,2803,1.2-1.5x,20,low,unknown,Moderate runtime; may benefit from minor optimizations
446,2797,1.2-1.5x,20,low,unknown,Moderate runtime; may benefit from minor optimizations
984,2779,1.2-1.5x,20,low,unknown,Moderate runtime; may benefit from minor optimizations
878,2762,1.2-1.5x,20,low,unknown,Moderate runtime; may benefit from minor optimizations
410,2747,1.2-1.5x,20,low,unknown,Moderate runtime; may benefit from minor optimizations
752,2744,1.2-1.5x,20,low,unknown,Moderate runtime; may benefit from minor optimizations
404,2694,1.2-1.5x,20,low,unknown,Moderate runtime; may benefit from minor optimizations
688,2691,1.2-1.5x,20,low,unknown,Moderate runtime; may benefit from minor optimizations
221,2643,1.2-1.5x,20,low,unknown,Moderate runtime; may benefit from minor optimizations
938,2641,1.2-1.5x,20,low,unknown,Moderate runtime; may benefit from minor optimizations
757,2639,1.2-1.5x,20,low,unknown,Moderate runtime; may benefit from minor optimizations
837,2638,1.2-1.5x,20,low,unknown,Moderate runtime; may benefit from minor optimizations
827,2626,1.2-1.5x,20,low,unknown,Moderate runtime; may benefit from minor optimizations
945,2576,1.2-1.5x,20,low,unknown,Moderate runtime; may benefit from minor optimizations
484,2571,1.2-1.5x,20,low,unknown,Moderate runtime; may benefit from minor optimizations
586,2568,1.2-1.5x,20,low,unknown,Moderate runtime; may benefit from minor optimizations
714,2556,1.2-1.5x,20,low,unknown,Moderate runtime; may benefit from minor optimizations
643,2496,1.2-1.5x,20,low,unknown,Moderate runtime; may benefit from minor optimizations
824,2487,1.2-1.5x,20,low,unknown,Moderate runtime; may benefit from minor optimizations
229,2484,1.2-1.5x,20,low,unknown,Moderate runtime; may benefit from minor optimizations
933,2468,1.2-1.5x,20,low,unknown,Moderate runtime; may benefit from minor optimizations
589,2464,1.2-1.5x,20,low,unknown,Moderate runtime; may benefit from minor optimizations
810,2459,1.2-1.5x,20,low,unknown,Moderate runtime; may benefit from minor optimizations
927,2447,1.2-1.5x,20,low,unknown,Moderate runtime; may benefit from minor optimizations
531,2445,1.2-1.5x,20,low,unknown,Moderate runtime; may benefit from minor optimizations
729,2444,1.2-1.5x,20,low,unknown,Moderate runtime; may benefit from minor optimizations
869,2415,1.2-1.5x,20,low,unknown,Moderate runtime; may benefit from minor optimizations
625,2409,1.2-1.5x,20,low,unknown,Moderate runtime; may benefit from minor optimizations
526,2394,1.2-1.5x,20,low,unknown,Moderate runtime; may benefit from minor optimizations
486,2313,1.2-1.5x,20,low,unknown,Moderate runtime; may benefit from minor optimizations
263,2307,1.2-1.5x,20,low,unknown,Moderate runtime; may benefit from minor optimizations
743,2305,1.2-1.5x,20,low,unknown,Moderate runtime; may benefit from minor optimizations
632,2277,1.2-1.5x,20,low,unknown,Moderate runtime; may benefit from minor optimizations
338,2262,1.2-1.5x,20,low,unknown,Moderate runtime; may benefit from minor optimizations
628,2192,1.2-1.5x,20,low,unknown,Moderate runtime; may benefit from minor optimizations
331,2187,1.2-1.5x,20,low,unknown,Moderate runtime; may benefit from minor optimizations
564,2090,1.2-1.5x,20,low,unknown,Moderate runtime; may benefit from minor optimizations
615,2089,1.2-1.5x,20,low,unknown,Moderate runtime; may benefit from minor optimizations
576,2081,1.2-1.5x,20,low,unknown,Moderate runtime; may benefit from minor optimizations
533,2073,1.2-1.5x,20,low,unknown,Moderate runtime; may benefit from minor optimizations
544,2061,1.2-1.5x,20,low,unknown,Moderate runtime; may benefit from minor optimizations
798,2056,1.2-1.5x,20,low,unknown,Moderate runtime; may benefit from minor optimizations
485,2052,1.2-1.5x,20,low,unknown,Moderate runtime; may benefit from minor optimizations
492,2044,1.2-1.5x,20,low,unknown,Moderate runtime; may benefit from minor optimizations
630,2041,1.2-1.5x,20,low,unknown,Moderate runtime; may benefit from minor optimizations
893,2040,1.2-1.5x,20,low,unknown,Moderate runtime; may benefit from minor optimizations
780,2038,1.2-1.5x,20,low,unknown,Moderate runtime; may benefit from minor optimizations
275,2018,1.2-1.5x,20,low,unknown,Moderate runtime; may benefit from minor optimizations
357,2014,1.2-1.5x,20,low,unknown,Moderate runtime; may benefit from minor optimizations
766,2012,1.2-1.5x,20,low,unknown,Moderate runtime; may benefit from minor optimizations
413,2003,1.2-1.5x,20,low,unknown,Moderate runtime; may benefit from minor optimizations
672,2000,1.2-1.5x,20,low,unknown,Moderate runtime; may benefit from minor optimizations
801,1977,1.2-1.5x,20,low,unknown,Moderate runtime; may benefit from minor optimizations
251,1949,1.2-1.5x,20,low,unknown,Moderate runtime; may benefit from minor optimizations
470,1915,1.2-1.5x,20,low,unknown,Moderate runtime; may benefit from minor optimizations
401,1910,1.2-1.5x,20,low,unknown,Moderate runtime; may benefit from minor optimizations
772,1889,1.2-1.5x,20,low,unknown,Moderate runtime; may benefit from minor optimizations
609,1885,1.2-1.5x,20,low,unknown,Moderate runtime; may benefit from minor optimizations
733,1877,1.2-1.5x,20,low,unknown,Moderate runtime; may benefit from minor optimizations
423,1827,1.2-1.5x,20,low,unknown,Moderate runtime; may benefit from minor optimizations
569,1800,1.2-1.5x,20,low,unknown,Moderate runtime; may benefit from minor optimizations
320,1794,1.2-1.5x,20,low,unknown,Moderate runtime; may benefit from minor optimizations
424,1779,1.2-1.5x,20,low,unknown,Moderate runtime; may benefit from minor optimizations
354,1774,1.2-1.5x,20,low,unknown,Moderate runtime; may benefit from minor optimizations
675,1767,1.2-1.5x,20,low,unknown,Moderate runtime; may benefit from minor optimizations
952,1755,1.2-1.5x,20,low,unknown,Moderate runtime; may benefit from minor optimizations
738,1716,1.2-1.5x,20,low,unknown,Moderate runtime; may benefit from minor optimizations
584,1706,1.2-1.5x,20,low,unknown,Moderate runtime; may benefit from minor optimizations
570,1704,1.2-1.5x,20,low,unknown,Moderate runtime; may benefit from minor optimizations
477,1703,1.2-1.5x,20,low,unknown,Moderate runtime; may benefit from minor optimizations
820,1643,1.2-1.5x,20,low,unknown,Moderate runtime; may benefit from minor optimizations
545,1642,1.2-1.5x,20,low,unknown,Moderate runtime; may benefit from minor optimizations
828,1638,1.2-1.5x,20,low,unknown,Moderate runtime; may benefit from minor optimizations
311,1608,1.2-1.5x,20,low,unknown,Moderate runtime; may benefit from minor optimizations
939,1607,1.2-1.5x,20,low,unknown,Moderate runtime; may benefit from minor optimizations
818,1604,1.2-1.5x,20,low,unknown,Moderate runtime; may benefit from minor optimizations
944,1595,1.2-1.5x,20,low,unknown,Moderate runtime; may benefit from minor optimizations
381,1593,1.2-1.5x,20,low,unknown,Moderate runtime; may benefit from minor optimizations
943,1589,1.2-1.5x,20,low,unknown,Moderate runtime; may benefit from minor optimizations
386,1581,1.2-1.5x,20,low,unknown,Moderate runtime; may benefit from minor optimizations
432,1580,1.2-1.5x,20,low,unknown,Moderate runtime; may benefit from minor optimizations
658,1579,1.2-1.5x,20,low,unknown,Moderate runtime; may benefit from minor optimizations
621,1569,1.2-1.5x,20,low,unknown,Moderate runtime; may benefit from minor optimizations
747,1553,1.2-1.5x,20,low,unknown,Moderate runtime; may benefit from minor optimizations
502,1547,1.2-1.5x,20,low,unknown,Moderate runtime; may benefit from minor optimizations
823,1536,1.2-1.5x,20,low,unknown,Moderate runtime; may benefit from minor optimizations
283,1530,1.2-1.5x,20,low,unknown,Moderate runtime; may benefit from minor optimizations
789,1527,1.2-1.5x,20,low,unknown,Moderate runtime; may benefit from minor optimizations
450,1521,1.2-1.5x,20,low,unknown,Moderate runtime; may benefit from minor optimizations
530,1459,1.2-1.5x,20,low,unknown,Moderate runtime; may benefit from minor optimizations
296,1454,1.2-1.5x,20,low,unknown,Moderate runtime; may benefit from minor optimizations
644,1447,1.2-1.5x,20,low,unknown,Moderate runtime; may benefit from minor optimizations
678,1436,1.2-1.5x,20,low,unknown,Moderate runtime; may benefit from minor optimizations
292,1414,1.2-1.5x,20,low,unknown,Moderate runtime; may benefit from minor optimizations
815,1400,1.2-1.5x,20,low,unknown,Moderate runtime; may benefit from minor optimizations
602,1360,1.2-1.5x,20,low,unknown,Moderate runtime; may benefit from minor optimizations
542,1359,1.2-1.5x,20,low,unknown,Moderate runtime; may benefit from minor optimizations
279,1352,1.2-1.5x,20,low,unknown,Moderate runtime; may benefit from minor optimizations
717,1350,1.2-1.5x,20,low,unknown,Moderate runtime; may benefit from minor optimizations
709,1348,1.2-1.5x,20,low,unknown,Moderate runtime; may benefit from minor optimizations
756,1342,1.2-1.5x,20,low,unknown,Moderate runtime; may benefit from minor optimizations
854,1342,1.2-1.5x,20,low,unknown,Moderate runtime; may benefit from minor optimizations
554,1339,1.2-1.5x,20,low,unknown,Moderate runtime; may benefit from minor optimizations
443,1265,1.2-1.5x,20,low,unknown,Moderate runtime; may benefit from minor optimizations
373,1248,1.2-1.5x,20,low,unknown,Moderate runtime; may benefit from minor optimizations
967,1216,1.2-1.5x,20,low,unknown,Moderate runtime; may benefit from minor optimizations
781,1198,1.2-1.5x,20,low,unknown,Moderate runtime; may benefit from minor optimizations
840,1195,1.2-1.5x,20,low,unknown,Moderate runtime; may benefit from minor optimizations
454,1186,1.2-1.5x,20,low,unknown,Moderate runtime; may benefit from minor optimizations
494,1180,1.2-1.5x,20,low,unknown,Moderate runtime; may benefit from minor optimizations
908,1173,1.2-1.5x,20,low,unknown,Moderate runtime; may benefit from minor optimizations
466,1150,1.2-1.5x,20,low,unknown,Moderate runtime; may benefit from minor optimizations
336,1149,1.2-1.5x,20,low,unknown,Moderate runtime; may benefit from minor optimizations
319,1114,1.2-1.5x,20,low,unknown,Moderate runtime; may benefit from minor optimizations
930,1099,1.2-1.5x,20,low,unknown,Moderate runtime; may benefit from minor optimizations
556,1087,1.2-1.5x,20,low,unknown,Moderate runtime; may benefit from minor optimizations
880,1070,1.2-1.5x,20,low,unknown,Moderate runtime; may benefit from minor optimizations
522,1063,1.2-1.5x,20,low,unknown,Moderate runtime; may benefit from minor optimizations
322,1058,1.2-1.5x,20,low,unknown,Moderate runtime; may benefit from minor optimizations
663,1018,1.2-1.5x,20,low,unknown,Moderate runtime; may benefit from minor optimizations
457,1011,1.2-1.5x,20,low,unknown,Moderate runtime; may benefit from minor optimizations
891,1011,1.2-1.5x,20,low,unknown,Moderate runtime; may benefit from minor optimizations
648,1005,1.2-1.5x,20,low,unknown,Moderate runtime; may benefit from minor optimizations
677,1005,1.2-1.5x,20,low,unknown,Moderate runtime; may benefit from minor optimizations
1,2,1x,0,n/a,none,Fast enough (<1s)
2,1,1x,0,n/a,none,Fast enough (<1s)
3,1,1x,0,n/a,none,Fast enough (<1s)
4,2,1x,0,n/a,none,Fast enough (<1s)
5,1,1x,0,n/a,none,Fast enough (<1s)
6,1,1x,0,n/a,none,Fast enough (<1s)
7,2,1x,0,n/a,none,Fast enough (<1s)
8,1,1x,0,n/a,none,Fast enough (<1s)
9,1,1x,0,n/a,none,Fast enough (<1s)
10,8,1x,0,n/a,none,Fast enough (<1s)
11,2,1x,0,n/a,none,Fast enough (<1s)
12,13,1x,0,n/a,none,Fast enough (<1s)
13,2,1x,0,n/a,none,Fast enough (<1s)
14,14,1x,0,n/a,none,Fast enough (<1s)
15,1,1x,0,n/a,none,Fast enough (<1s)
16,1,1x,0,n/a,none,Fast enough (<1s)
17,1,1x,0,n/a,none,Fast enough (<1s)
18,1,1x,0,n/a,none,Fast enough (<1s)
19,2,1x,0,n/a,none,Fast enough (<1s)
20,1,1x,0,n/a,none,Fast enough (<1s)
21,2,1x,0,n/a,none,Fast enough (<1s)
22,2,1x,0,n/a,none,Fast enough (<1s)
23,8,1x,0,n/a,none,Fast enough (<1s)
24,1,1x,0,n/a,none,Fast enough (<1s)
25,1,1x,0,n/a,none,Fast enough (<1s)
26,2,1x,0,n/a,none,Fast enough (<1s)
27,13,1x,0,n/a,none,Fast enough (<1s)
28,2,1x,0,n/a,none,Fast enough (<1s)
29,3,1x,0,n/a,none,Fast enough (<1s)
30,3,1x,0,n/a,none,Fast enough (<1s)
31,1,1x,0,n/a,none,Fast enough (<1s)
32,3,1x,0,n/a,none,Fast enough (<1s)
33,1,1x,0,n/a,none,Fast enough (<1s)
34,17,1x,0,n/a,none,Fast enough (<1s)
35,5,1x,0,n/a,none,Fast enough (<1s)
36,24,1x,0,n/a,none,Fast enough (<1s)
37,42,1x,0,n/a,none,Fast enough (<1s)
38,2,1x,0,n/a,none,Fast enough (<1s)
39,2,1x,0,n/a,none,Fast enough (<1s)
40,5,1x,0,n/a,none,Fast enough (<1s)
41,1,1x,0,n/a,none,Fast enough (<1s)
42,2,1x,0,n/a,none,Fast enough (<1s)
43,15,1x,0,n/a,none,Fast enough (<1s)
44,39,1x,0,n/a,none,Fast enough (<1s)
45,2,1x,0,n/a,none,Fast enough (<1s)
46,2,1x,0,n/a,none,Fast enough (<1s)
47,2,1x,0,n/a,none,Fast enough (<1s)
48,2,1x,0,n/a,none,Fast enough (<1s)
49,5,1x,0,n/a,none,Fast enough (<1s)
50,8,1x,0,n/a,none,Fast enough (<1s)
51,5,1x,0,n/a,none,Fast enough (<1s)
52,16,1x,0,n/a,none,Fast enough (<1s)
53,1,1x,0,n/a,none,Fast enough (<1s)
54,2,1x,0,n/a,none,Fast enough (<1s)
55,16,1x,0,n/a,none,Fast enough (<1s)
56,7,1x,0,n/a,none,Fast enough (<1s)
57,6,1x,0,n/a,none,Fast enough (<1s)
58,63,1x,0,n/a,none,Fast enough (<1s)
59,7,1x,0,n/a,none,Fast enough (<1s)
60,132,1x,0,n/a,none,Fast enough (<1s)
61,9,1x,0,n/a,none,Fast enough (<1s)
62,4,1x,0,n/a,none,Fast enough (<1s)
63,2,1x,0,n/a,none,Fast enough (<1s)
64,6,1x,0,n/a,none,Fast enough (<1s)
65,1,1x,0,n/a,none,Fast enough (<1s)
66,3,1x,0,n/a,none,Fast enough (<1s)
67,1,1x,0,n/a,none,Fast enough (<1s)
68,149,1x,0,n/a,none,Fast enough (<1s)
69,10,1x,0,n/a,none,Fast enough (<1s)
70,5,1x,0,n/a,none,Fast enough (<1s)
